"replicate","method","c1","c2","n_optima","empty_middle","BA_boot","BA_original","optimism"
1,"Youden",-0.69029209625,-0.17912371135,2,FALSE,0.682145933308724,0.651827242524917,0.030318690783807
1,"Distance",-1.98969072165,0.7573024055,1,FALSE,0.598055863172142,0.647422173003568,-0.0493663098314261
2,"Youden",-1.4742268041,2.5206185565,1,FALSE,0.744382921127107,0.666789713301341,0.077593207825766
2,"Distance",-1.4742268041,2.5206185565,1,FALSE,0.744382921127107,0.666789713301341,0.077593207825766
3,"Youden",-0.6387457045,0.806701031,1,FALSE,0.713818137073951,0.696862310815799,0.0169558262581518
3,"Distance",-1.63101374575,2.058848797,1,FALSE,0.693269349083303,0.67525532176695,0.0180140273163529
4,"Youden",-1.05970790375,1.47895189,1,FALSE,0.752159468438538,0.67390180878553,0.0782576596530085
4,"Distance",-1.57731958765,1.47895189,1,FALSE,0.746130183339486,0.667872523686477,0.0782576596530085
5,"Youden",-1.56872852235,0.6112542955,1,FALSE,0.768426233542513,0.68448381936754,0.0839424141749723
5,"Distance",-1.56872852235,2.211340206,1,FALSE,0.74369385997293,0.667503383782454,0.0761904761904761
6,"Youden",-1.01030927835,0.6112542955,1,FALSE,0.783585578934416,0.690513104466593,0.0930724744678233
6,"Distance",-1.4742268041,0.806701031,1,FALSE,0.769090685369755,0.691522086870924,0.077568598498831
7,"Youden",-1.4742268041,2.058848797,1,FALSE,0.666445182724252,0.674910791189861,-0.00846560846560851
7,"Distance",-1.4742268041,2.058848797,1,FALSE,0.666445182724252,0.674910791189861,-0.00846560846560851
8,"Youden",-0.6387457045,1.219072165,1,FALSE,0.766974283253353,0.68874123292728,0.0782330503260735
8,"Distance",-0.6387457045,1.219072165,1,FALSE,0.766974283253353,0.68874123292728,0.0782330503260735
9,"Youden",-1.3711340206,2.058848797,1,FALSE,0.839227267134244,0.666814322628276,0.172412944505968
9,"Distance",-1.3711340206,2.058848797,1,FALSE,0.839227267134244,0.666814322628276,0.172412944505968
10,"Youden",-1.63101374575,0.6112542955,1,FALSE,0.72358803986711,0.692235757352036,0.0313522825150732
10,"Distance",-1.63101374575,0.6112542955,1,FALSE,0.72358803986711,0.692235757352036,0.0313522825150732
11,"Youden",-1.6825601375,0.6112542955,1,FALSE,0.714088839670235,0.692235757352036,0.0218530823181985
11,"Distance",-1.6825601375,0.6112542955,1,FALSE,0.714088839670235,0.692235757352036,0.0218530823181985
12,"Youden",-1.63101374575,0.13445017195,1,FALSE,0.685960378983635,0.661966285222099,0.0239940937615356
12,"Distance",-1.63101374575,1.47895189,1,FALSE,0.668241663590501,0.675624461670973,-0.00738279808047249
13,"Youden",-1.3711340206,0.6112542955,1,FALSE,0.737393872277593,0.683794758213363,0.0535991140642303
13,"Distance",-1.4656357388,2.058848797,1,FALSE,0.705229481973668,0.667158853205365,0.0380706287683031
14,"Youden",-0.69029209625,2.058848797,2,FALSE,0.79729297403716,0.680251015134736,0.117041958902424
14,"Distance",-0.69029209625,2.058848797,2,FALSE,0.79729297403716,0.680251015134736,0.117041958902424
15,"Youden",-1.4742268041,1.0622852235,1,FALSE,0.737713793527747,0.675649070997908,0.0620647225298389
15,"Distance",-1.4742268041,1.0622852235,1,FALSE,0.737713793527747,0.675649070997908,0.0620647225298389
16,"Youden",-0.535652921,0.1323024055,1,FALSE,0.705401747262212,0.659210040605389,0.0461917066568229
16,"Distance",-1.63101374575,2.211340206,1,FALSE,0.644567491079119,0.67525532176695,-0.0306878306878307
17,"Youden",-0.07817869415,0.609106529,2,FALSE,0.665165497723637,0.681038513596653,-0.0158730158730159
17,"Distance",-1.63101374575,2.5206185565,1,FALSE,0.637160083671712,0.66713424387843,-0.0299741602067183
18,"Youden",-1.63101374575,1.219072165,1,FALSE,0.78250276854928,0.683745539559493,0.0987572289897871
18,"Distance",-1.63101374575,1.219072165,1,FALSE,0.78250276854928,0.683745539559493,0.0987572289897871
